ome;frfe
61,1;0,660669
61,2;0,657271
61,3;0,653842
61,4;0,650919
61,5;0,648001
61,6;0,644264
61,7;0,640253
61,8;0,636953
61,9;0,632964
62;0,629441
62,1;0,626127
62,2;0,622087
62,3;0,618482
62,4;0,615031
62,5;0,611367
62,6;0,60839
62,7;0,605538
62,8;0,602454
62,9;0,598676
63;0,595785
63,1;0,59379
63,2;0,590888
63,3;0,588883
63,4;0,588075
63,5;0,58646
63,6;0,585129
63,7;0,582812
63,8;0,580189
63,9;0,578064
64;0,576036
64,1;0,573788
64,2;0,57253
64,3;0,570778
64,4;0,569271
64,5;0,567786
64,6;0,565118
64,7;0,56322
64,8;0,561047
64,9;0,559024
65;0,557562
65,1;0,555263
65,2;0,552375
65,3;0,550427
65,4;0,547995
65,5;0,544547
65,6;0,540889
65,7;0,539433
65,8;0,53902
65,9;0,539428
66;0,539732
66,1;0,539392
66,2;0,539096
66,3;0,538577
66,4;0,538038
66,5;0,537761
66,6;0,537159
66,7;0,537109
66,8;0,536946
66,9;0,536526
67;0,535909
67,1;0,535768
67,2;0,535461
67,3;0,534503
67,4;0,533776
67,5;0,533275
67,6;0,532279
67,7;0,530728
67,8;0,529339
67,9;0,528805
68;0,528094
68,1;0,527296
68,2;0,526325
68,3;0,52465
68,4;0,523594
68,5;0,521989
68,6;0,520919
68,7;0,520614
68,8;0,519483
68,9;0,518145
69;0,517134
69,1;0,516364
69,2;0,516139
69,3;0,515305
69,4;0,514989
69,5;0,514923
69,6;0,515335
69,7;0,515878
69,8;0,516473
69,9;0,517067
70;0,516589
70,1;0,516247
70,2;0,515744
70,3;0,515193
70,4;0,515583
70,5;0,515478
70,6;0,515046
70,7;0,51509
70,8;0,515696
70,9;0,516336
71;0,516664
71,1;0,516777
71,2;0,517138
71,3;0,518068
71,4;0,519064
71,5;0,52028
71,6;0,520445
71,7;0,521494
71,8;0,522552
71,9;0,523482
72;0,524187
72,1;0,524021
72,2;0,524013
72,3;0,523955
72,4;0,524331
72,5;0,524261
72,6;0,524314
72,7;0,524396
72,8;0,524406
72,9;0,525243
73;0,525717
73,1;0,526297
73,2;0,52719
73,3;0,527822
73,4;0,529305
73,5;0,530329
73,6;0,531862
73,7;0,533412
73,8;0,535015
73,9;0,53612
74;0,537496
74,1;0,538863
74,2;0,54071
74,3;0,541613
74,4;0,542603
74,5;0,543684
74,6;0,544783
74,7;0,546169
74,8;0,546554
74,9;0,547428
75;0,548392
75,1;0,549339
75,2;0,550168
75,3;0,550634
75,4;0,551065
75,5;0,552056
75,6;0,553041
75,7;0,553856
75,8;0,554442
75,9;0,555223
76;0,556285
76,1;0,557225
76,2;0,557787
76,3;0,559073
76,4;0,560499
76,5;0,562219
76,6;0,56443
76,7;0,566315
76,8;0,568601
76,9;0,570874
77;0,573228
77,1;0,575587
77,2;0,578
77,3;0,579899
77,4;0,58239
77,5;0,585236
77,6;0,58686
77,7;0,589396
77,8;0,590997
77,9;0,592489
78;0,594286
78,1;0,595836
78,2;0,598056
78,3;0,600157
78,4;0,601796
78,5;0,60331
78,6;0,604151
78,7;0,605194
78,8;0,606412
78,9;0,608087
79;0,610322
79,1;0,612266
79,2;0,614783
79,3;0,616943
79,4;0,619477
79,5;0,622927
79,6;0,626125
79,7;0,629021
79,8;0,631633
79,9;0,635205
80;0,638395
80,1;0,640595
80,2;0,642591
80,3;0,644564
80,4;0,646696
80,5;0,649106
80,6;0,651448
80,7;0,653407
80,8;0,655806
80,9;0,658941
81;0,6622
81,1;0,665817
81,2;0,669409
81,3;0,673204
81,4;0,677085
81,5;0,680667
81,6;0,684459
81,7;0,686892
81,8;0,687872
81,9;0,688496
82;0,68945
82,1;0,691657
82,2;0,695744
82,3;0,700987
82,4;0,704584
82,5;0,706748
82,6;0,708623
82,7;0,708049
82,8;0,703654
82,9;0,698998
83;0,696886
83,1;0,698711
83,2;0,700791
83,3;0,704908
83,4;0,710474
83,5;0,714826
83,6;0,72203
83,7;0,727379
83,8;0,732703
83,9;0,73822
84;0,742785
84,1;0,750347
84,2;0,757728
84,3;0,762416
84,4;0,766282
84,5;0,769163
84,6;0,773304
84,7;0,77816
84,8;0,782262
84,9;0,787556
85;0,792359
85,1;0,796114
85,2;0,801245
85,3;0,806256
85,4;0,812355
85,5;0,819144
85,6;0,825527
85,7;0,833199
85,8;0,840422
85,9;0,846372
86;0,852221
86,1;0,858435
86,2;0,865588
86,3;0,872009
86,4;0,878044
86,5;0,883815
86,6;0,889764
86,7;0,897017
86,8;0,903823
